Link_id,Direction,AVG_Speed,Data_Availability_Percentage,Category
35355897,1,24,0,Low [0-30]
35355897,2,25,0,Low [0-30]
35356271,1,80,43,High (51 - 80]
36889396,1,25,68,Low [0-30]
37043360,1,25,63,Low [0-30]
37047940,1,23,53,Low [0-30]
37568472,1,16,40,Low [0-30]
39065941,1,70,1,High (51 - 80]
39065963,1,106,0,Highest (80 +
39065981,1,61,1,High (51 - 80]
39066007,1,35,3,Medium (30 - 50]
39066855,1,111,8,Highest (80 +
39350237,1,24,67,Low [0-30]
39350238,NULL,NULL,0,NULL
39350623,1,42,95,Medium (30 - 50]
39350624,1,32,87,Medium (30 - 50]
39350625,NULL,NULL,0,NULL
39350712,1,44,93,Medium (30 - 50]
39351198,NULL,NULL,0,NULL
39351199,1,30,66,Low [0-30]
39351199,2,30,67,Low [0-30]
39351515,1,27,20,Low [0-30]
39351515,2,22,16,Low [0-30]
41160205,1,82,1,Highest (80 +
43953989,1,42,72,Medium (30 - 50]
43954003,1,31,16,Medium (30 - 50]
44157291,1,58,15,High (51 - 80]
44158581,1,32,9,Medium (30 - 50]
44158581,2,38,2,Medium (30 - 50]
44398629,1,42,5,Medium (30 - 50]
44624473,1,90,5,Highest (80 +
44676634,1,24,30,Low [0-30]
44770629,1,58,1,High (51 - 80]
44770629,2,51,1,High (51 - 80]
44771236,1,45,4,Medium (30 - 50]
45849236,1,62,12,High (51 - 80]
46615822,1,35,16,Medium (30 - 50]
46615822,2,34,28,Medium (30 - 50]
46616788,1,38,21,Medium (30 - 50]
46617505,1,27,30,Low [0-30]
46894780,1,57,39,High (51 - 80]
46894783,1,76,24,High (51 - 80]
46894784,1,84,18,Highest (80 +
46894786,1,55,42,High (51 - 80]
47577428,1,21,78,Low [0-30]
48864913,1,107,1,Highest (80 +
48864919,1,86,0,Highest (80 +
48865933,1,95,3,Highest (80 +
48865935,1,94,3,Highest (80 +
51710870,1,52,42,High (51 - 80]
51710874,1,58,44,High (51 - 80]
51710875,1,61,28,High (51 - 80]
51710876,1,56,21,High (51 - 80]
51710877,1,45,26,Medium (30 - 50]
51710878,1,69,6,High (51 - 80]
51710879,1,44,13,Medium (30 - 50]
51710880,1,70,11,High (51 - 80]
51710882,1,46,21,Medium (30 - 50]
51710886,1,55,17,High (51 - 80]
52977150,1,41,0,Medium (30 - 50]
52977150,2,34,0,Medium (30 - 50]
52977183,1,93,59,Highest (80 +
52977275,1,82,2,Highest (80 +
53015177,1,67,0,High (51 - 80]
54611927,1,106,6,Highest (80 +
